ProductKey,ProductItemCode,ProductName,SubCategory,Category,Color,Size,ProductLine,ModelName,ProductDes,StartDate,Status
210,FR-R92B-58,"HL Road Frame - Black, 58",Road Frames,Components,Black,58,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2013-07-01 00:00:00.000,Current
211,FR-R92R-58,"HL Road Frame - Red, 58",Road Frames,Components,Red,58,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2013-07-01 00:00:00.000,Current
212,HL-U509-R,"Sport-100 Helmet, Red",Helmets,Accessories,Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2021-07-01 00:00:00.000,Outdate
213,HL-U509-R,"Sport-100 Helmet, Red",Helmets,Accessories,Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2022-07-01 00:00:00.000,Outdate
214,HL-U509-R,"Sport-100 Helmet, Red",Helmets,Accessories,Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2023-07-01 00:00:00.000,Current
215,HL-U509,"Sport-100 Helmet, Black",Helmets,Accessories,Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2021-07-01 00:00:00.000,Outdate
216,HL-U509,"Sport-100 Helmet, Black",Helmets,Accessories,Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2022-07-01 00:00:00.000,Outdate
217,HL-U509,"Sport-100 Helmet, Black",Helmets,Accessories,Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2023-07-01 00:00:00.000,Current
218,SO-B909-M,"Mountain Bike Socks, M",Socks,Clothing,White,M,"M ",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,2021-07-01 00:00:00.000,Outdate
219,SO-B909-L,"Mountain Bike Socks, L",Socks,Clothing,White,L,"M ",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,2021-07-01 00:00:00.000,Outdate
220,HL-U509-B,"Sport-100 Helmet, Blue",Helmets,Accessories,Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2021-07-01 00:00:00.000,Outdate
221,HL-U509-B,"Sport-100 Helmet, Blue",Helmets,Accessories,Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2022-07-01 00:00:00.000,Outdate
222,HL-U509-B,"Sport-100 Helmet, Blue",Helmets,Accessories,Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2023-07-01 00:00:00.000,Current
223,CA-1098,AWC Logo Cap,Caps,Clothing,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,2021-07-01 00:00:00.000,Outdate
224,CA-1098,AWC Logo Cap,Caps,Clothing,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,2022-07-01 00:00:00.000,Outdate
225,CA-1098,AWC Logo Cap,Caps,Clothing,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,2023-07-01 00:00:00.000,Current
226,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2021-07-01 00:00:00.000,Outdate
227,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2022-07-01 00:00:00.000,Outdate
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2023-07-01 00:00:00.000,Current
229,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2021-07-01 00:00:00.000,Outdate
230,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2022-07-01 00:00:00.000,Outdate
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2023-07-01 00:00:00.000,Current
232,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2021-07-01 00:00:00.000,Outdate
233,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2022-07-01 00:00:00.000,Outdate
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2023-07-01 00:00:00.000,Current
235,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2021-07-01 00:00:00.000,Outdate
236,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2022-07-01 00:00:00.000,Outdate
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2023-07-01 00:00:00.000,Current
238,FR-R92R-62,"HL Road Frame - Red, 62",Road Frames,Components,Red,62,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2021-07-01 00:00:00.000,Outdate
239,FR-R92R-62,"HL Road Frame - Red, 62",Road Frames,Components,Red,62,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2022-07-01 00:00:00.000,Outdate
240,FR-R92R-62,"HL Road Frame - Red, 62",Road Frames,Components,Red,62,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2023-07-01 00:00:00.000,Current
241,FR-R92R-44,"HL Road Frame - Red, 44",Road Frames,Components,Red,44,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2021-07-01 00:00:00.000,Outdate
242,FR-R92R-44,"HL Road Frame - Red, 44",Road Frames,Components,Red,44,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2022-07-01 00:00:00.000,Outdate
243,FR-R92R-44,"HL Road Frame - Red, 44",Road Frames,Components,Red,44,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2023-07-01 00:00:00.000,Current
244,FR-R92R-48,"HL Road Frame - Red, 48",Road Frames,Components,Red,48,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2021-07-01 00:00:00.000,Outdate
245,FR-R92R-48,"HL Road Frame - Red, 48",Road Frames,Components,Red,48,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2022-07-01 00:00:00.000,Outdate
246,FR-R92R-48,"HL Road Frame - Red, 48",Road Frames,Components,Red,48,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2023-07-01 00:00:00.000,Current
247,FR-R92R-52,"HL Road Frame - Red, 52",Road Frames,Components,Red,52,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2021-07-01 00:00:00.000,Outdate
